Trip ID,Risk Score,Risk Level,Capacity Status,Triggered Rule,Decision,Reason,Recommended Action
TRIP-00253,0.348,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00235,0.347,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00228,0.345,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00260,0.339,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00244,0.339,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00259,0.337,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00219,0.337,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00228,0.335,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00238,0.333,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00204,0.332,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00202,0.33,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00223,0.328,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00213,0.326,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00227,0.325,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00240,0.324,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00253,0.323,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00228,0.321,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00212,0.319,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00264,0.317,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00239,0.312,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00203,0.305,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00203,0.305,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00255,0.299,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00213,0.297,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00247,0.297,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00197,0.294,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00225,0.292,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00208,0.285,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00216,0.284,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00226,0.283,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00261,0.281,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00230,0.279,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00208,0.269,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00223,0.266,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00224,0.266,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00233,0.266,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00251,0.264,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00257,0.262,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00197,0.254,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00197,0.254,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00197,0.254,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00210,0.254,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00256,0.253,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00230,0.249,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00242,0.245,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00230,0.243,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00219,0.24,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00203,0.237,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00260,0.237,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00203,0.236,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00246,0.232,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00253,0.23,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00198,0.227,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00258,0.226,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00220,0.225,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00245,0.221,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00238,0.22,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00221,0.219,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00228,0.216,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00245,0.215,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00224,0.215,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00204,0.215,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00240,0.214,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00211,0.213,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00242,0.213,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00259,0.213,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00198,0.21,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00236,0.208,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00224,0.207,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00238,0.206,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00223,0.206,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00197,0.205,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00242,0.203,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00238,0.201,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00236,0.2,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00224,0.196,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00269,0.193,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00223,0.189,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00216,0.189,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00216,0.189,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00220,0.187,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00227,0.187,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00210,0.178,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00250,0.177,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00219,0.177,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00197,0.176,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00239,0.174,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00217,0.173,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00243,0.173,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00236,0.172,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00220,0.172,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00231,0.17,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00243,0.169,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00215,0.169,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00240,0.168,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00240,0.168,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00236,0.167,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00249,0.164,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00208,0.164,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00205,0.158,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00231,0.158,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00260,0.158,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00245,0.149,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00245,0.148,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00210,0.146,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00258,0.145,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00202,0.144,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00260,0.142,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00213,0.14,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00197,0.135,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00205,0.133,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00205,0.133,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00260,0.132,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00237,0.129,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00258,0.128,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00254,0.127,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00237,0.125,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00258,0.124,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00212,0.123,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00265,0.123,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00240,0.12,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00270,0.116,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00231,0.116,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00245,0.114,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00231,0.113,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00204,0.112,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00197,0.112,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00240,0.111,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00226,0.109,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00214,0.108,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00258,0.107,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00260,0.106,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00231,0.104,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00219,0.103,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00237,0.103,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00221,0.102,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00249,0.1,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00237,0.1,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00204,0.1,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00225,0.098,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00216,0.095,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00237,0.094,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00243,0.091,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00233,0.091,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00206,0.09,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00201,0.088,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00201,0.086,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00204,0.086,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00211,0.085,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00246,0.085,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00249,0.081,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00245,0.078,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00240,0.076,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00250,0.076,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00232,0.074,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00218,0.071,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00203,0.068,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00200,0.066,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00246,0.065,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00236,0.065,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
