Trip ID,Fleet Type,Driver,Origin,Destination,Drops on Trip,Utilisation (Load/Capacity),Risk Probability,Risk Level,Vehicle Capacity (CBM),Load Carried (CBM),Unused Capacity (CBM),Opportunity
TRIP-00197,Dedicated,Driver-23,Warehouse East,Outlet-038,10,0.744,0.20507683,LOW,12,8.93,3.0700000000000003,No specific opportunity identified
TRIP-00242,Dedicated,Driver-21,Warehouse East,Outlet-015,7,0.677,0.2030962,LOW,12,8.12,3.880000000000001,No specific opportunity identified
TRIP-00238,On-Call,Driver-07,Warehouse North,Outlet-034,6,0.564,0.20100068,LOW,12,6.77,5.23,N/A (On-Call trip)
TRIP-00236,Dedicated,Driver-27,Warehouse East,Outlet-072,6,0.818,0.19983399,LOW,12,9.81,2.1899999999999995,No specific opportunity identified
TRIP-00224,On-Call,Driver-22,Warehouse West,Outlet-033,6,0.605,0.19570723,LOW,12,7.26,4.74,N/A (On-Call trip)
TRIP-00269,Dedicated,Driver-13,Warehouse East,Warehouse West,1,0.419,0.19337694,LOW,12,5.03,6.97,No specific opportunity identified
TRIP-00223,Dedicated,Driver-06,Warehouse West,Outlet-046,7,0.858,0.18944168,LOW,12,10.3,1.6999999999999993,No specific opportunity identified
TRIP-00216,Dedicated,Driver-23,Warehouse North,Outlet-075,7,0.731,0.18924545,LOW,12,8.77,3.2300000000000004,No specific opportunity identified
TRIP-00216,Dedicated,Driver-23,Warehouse North,Outlet-028,7,0.731,0.18924545,LOW,12,8.77,3.2300000000000004,No specific opportunity identified
TRIP-00220,On-Call,Driver-12,Warehouse West,Outlet-028,7,0.423,0.18662746,LOW,12,5.08,6.92,N/A (On-Call trip)
TRIP-00227,Dedicated,Driver-02,Warehouse North,Outlet-033,7,0.725,0.18656532,LOW,12,8.7,3.3000000000000007,No specific opportunity identified
TRIP-00210,On-Call,Driver-20,Warehouse East,Outlet-023,6,0.695,0.17797196,LOW,8,5.56,2.4400000000000004,N/A (On-Call trip)
TRIP-00250,Dedicated,Driver-06,Warehouse East,Outlet-033,6,0.812,0.17699708,LOW,12,9.74,2.26,No specific opportunity identified
TRIP-00219,Dedicated,Driver-10,Warehouse North,Outlet-039,6,0.696,0.17666723,LOW,12,8.35,3.6500000000000004,No specific opportunity identified
TRIP-00197,Dedicated,Driver-23,Warehouse East,Outlet-009,10,0.744,0.17604676,LOW,12,8.93,3.0700000000000003,No specific opportunity identified
TRIP-00239,On-Call,Driver-07,Warehouse East,Outlet-026,6,0.634,0.17370355,LOW,8,5.07,2.9299999999999997,N/A (On-Call trip)
TRIP-00217,Dedicated,Driver-11,Warehouse West,Outlet-010,6,0.709,0.1732903,LOW,12,8.51,3.49,No specific opportunity identified
TRIP-00243,On-Call,Driver-09,Warehouse North,Outlet-047,7,0.557,0.17277208,LOW,12,6.68,5.32,N/A (On-Call trip)
TRIP-00236,Dedicated,Driver-27,Warehouse East,Outlet-018,6,0.818,0.17163889,LOW,12,9.81,2.1899999999999995,No specific opportunity identified
TRIP-00220,On-Call,Driver-12,Warehouse West,Outlet-030,7,0.423,0.17150767,LOW,12,5.08,6.92,N/A (On-Call trip)
TRIP-00231,Dedicated,Driver-16,Warehouse West,Outlet-047,6,0.726,0.17006145,LOW,12,8.71,3.289999999999999,No specific opportunity identified
TRIP-00243,On-Call,Driver-09,Warehouse North,Outlet-002,7,0.557,0.16914932,LOW,12,6.68,5.32,N/A (On-Call trip)
TRIP-00215,On-Call,Driver-08,Warehouse North,Outlet-047,5,0.683,0.16869359,LOW,14,9.56,4.4399999999999995,N/A (On-Call trip)
TRIP-00240,On-Call,Driver-12,Warehouse West,Outlet-062,8,0.411,0.16812675,LOW,14,5.75,8.25,N/A (On-Call trip)
TRIP-00240,On-Call,Driver-12,Warehouse West,Outlet-057,8,0.411,0.16812675,LOW,14,5.75,8.25,N/A (On-Call trip)
TRIP-00236,Dedicated,Driver-27,Warehouse East,Outlet-057,6,0.818,0.1667789,LOW,12,9.81,2.1899999999999995,No specific opportunity identified
TRIP-00249,Dedicated,Driver-08,Warehouse West,Outlet-016,6,0.792,0.1644008,LOW,12,9.5,2.5,No specific opportunity identified
TRIP-00208,Dedicated,Driver-16,Warehouse East,Outlet-050,7,0.748,0.16389531,LOW,12,8.97,3.0299999999999994,No specific opportunity identified
TRIP-00205,Dedicated,Driver-16,Warehouse West,Outlet-038,4,0.757,0.15845415,LOW,12,9.09,2.91,No specific opportunity identified
TRIP-00231,Dedicated,Driver-16,Warehouse West,Outlet-034,6,0.726,0.15768151,LOW,12,8.71,3.289999999999999,No specific opportunity identified
TRIP-00260,Dedicated,Driver-07,Warehouse North,Outlet-031,6,0.819,0.15768039,LOW,12,9.83,2.17,No specific opportunity identified
TRIP-00245,Dedicated,Driver-16,Warehouse North,Outlet-055,8,0.788,0.1491159,LOW,12,9.46,2.539999999999999,No specific opportunity identified
TRIP-00245,Dedicated,Driver-16,Warehouse North,Outlet-044,8,0.788,0.14790852,LOW,12,9.46,2.539999999999999,No specific opportunity identified
TRIP-00210,On-Call,Driver-20,Warehouse East,Outlet-025,6,0.695,0.14587978,LOW,8,5.56,2.4400000000000004,N/A (On-Call trip)
TRIP-00258,Dedicated,Driver-17,Warehouse North,Outlet-031,8,0.718,0.14509834,LOW,12,8.62,3.380000000000001,No specific opportunity identified
TRIP-00202,Dedicated,Driver-09,Warehouse East,Outlet-045,5,0.625,0.14383803,LOW,12,7.5,4.5,No specific opportunity identified
TRIP-00260,Dedicated,Driver-07,Warehouse North,Outlet-016,6,0.819,0.14245805,LOW,12,9.83,2.17,No specific opportunity identified
TRIP-00213,Dedicated,Driver-22,Warehouse East,Outlet-001,8,0.821,0.13991566,LOW,12,9.85,2.1500000000000004,No specific opportunity identified
TRIP-00197,Dedicated,Driver-23,Warehouse East,Outlet-039,10,0.744,0.13546711,LOW,12,8.93,3.0700000000000003,No specific opportunity identified
TRIP-00205,Dedicated,Driver-16,Warehouse West,Outlet-004,4,0.757,0.1326607,LOW,12,9.09,2.91,No specific opportunity identified
TRIP-00205,Dedicated,Driver-16,Warehouse West,Outlet-047,4,0.757,0.1326607,LOW,12,9.09,2.91,No specific opportunity identified
TRIP-00260,Dedicated,Driver-07,Warehouse North,Outlet-058,6,0.819,0.13234858,LOW,12,9.83,2.17,No specific opportunity identified
TRIP-00237,Dedicated,Driver-22,Warehouse East,Outlet-035,6,0.856,0.12900744,LOW,12,10.27,1.7300000000000004,No specific opportunity identified
TRIP-00258,Dedicated,Driver-17,Warehouse North,Outlet-055,8,0.718,0.12836546,LOW,12,8.62,3.380000000000001,No specific opportunity identified
TRIP-00254,Dedicated,Driver-23,Warehouse East,Outlet-011,8,0.728,0.12700915,LOW,12,8.73,3.2699999999999996,No specific opportunity identified
TRIP-00237,Dedicated,Driver-22,Warehouse East,Outlet-023,6,0.856,0.12525673,LOW,12,10.27,1.7300000000000004,No specific opportunity identified
TRIP-00258,Dedicated,Driver-17,Warehouse North,Outlet-057,8,0.718,0.124066636,LOW,12,8.62,3.380000000000001,No specific opportunity identified
TRIP-00212,Dedicated,Driver-17,Warehouse North,Outlet-013,6,0.712,0.1234756,LOW,12,8.54,3.460000000000001,No specific opportunity identified
TRIP-00265,Dedicated,Driver-19,Warehouse West,Warehouse East,1,0.314,0.12296419,LOW,12,3.77,8.23,No specific opportunity identified
TRIP-00240,On-Call,Driver-12,Warehouse West,Outlet-017,8,0.411,0.12040455,LOW,14,5.75,8.25,N/A (On-Call trip)
TRIP-00270,Dedicated,Driver-09,Warehouse West,Warehouse North,1,0.535,0.116301894,LOW,12,6.42,5.58,No specific opportunity identified
TRIP-00231,Dedicated,Driver-16,Warehouse West,Outlet-014,6,0.726,0.11622406,LOW,12,8.71,3.289999999999999,No specific opportunity identified
TRIP-00245,Dedicated,Driver-16,Warehouse North,Outlet-060,8,0.788,0.114346236,LOW,12,9.46,2.539999999999999,No specific opportunity identified
TRIP-00231,Dedicated,Driver-16,Warehouse West,Outlet-003,6,0.726,0.112979785,LOW,12,8.71,3.289999999999999,No specific opportunity identified
TRIP-00204,Dedicated,Driver-19,Warehouse West,Outlet-072,6,0.768,0.11237933,LOW,12,9.21,2.789999999999999,No specific opportunity identified
TRIP-00197,Dedicated,Driver-23,Warehouse East,Outlet-026,10,0.744,0.11168837,LOW,12,8.93,3.0700000000000003,No specific opportunity identified
TRIP-00240,On-Call,Driver-12,Warehouse West,Outlet-056,8,0.411,0.111318335,LOW,14,5.75,8.25,N/A (On-Call trip)
TRIP-00226,On-Call,Driver-02,Warehouse East,Outlet-044,5,0.509,0.10872936,LOW,8,4.07,3.9299999999999997,N/A (On-Call trip)
TRIP-00214,Dedicated,Driver-04,Warehouse East,Outlet-052,4,0.729,0.10832059,LOW,12,8.75,3.25,No specific opportunity identified
TRIP-00258,Dedicated,Driver-17,Warehouse North,Outlet-029,8,0.718,0.10671007,LOW,12,8.62,3.380000000000001,No specific opportunity identified
TRIP-00260,Dedicated,Driver-07,Warehouse North,Outlet-036,6,0.819,0.10647639,LOW,12,9.83,2.17,No specific opportunity identified
TRIP-00231,Dedicated,Driver-16,Warehouse West,Outlet-043,6,0.726,0.1044954,LOW,12,8.71,3.289999999999999,No specific opportunity identified
TRIP-00219,Dedicated,Driver-10,Warehouse North,Outlet-005,6,0.696,0.10340013,LOW,12,8.35,3.6500000000000004,No specific opportunity identified
TRIP-00237,Dedicated,Driver-22,Warehouse East,Outlet-008,6,0.856,0.10250567,LOW,12,10.27,1.7300000000000004,No specific opportunity identified
TRIP-00221,Dedicated,Driver-18,Warehouse East,Outlet-059,3,0.739,0.10162183,LOW,12,8.87,3.130000000000001,No specific opportunity identified
TRIP-00249,Dedicated,Driver-08,Warehouse West,Outlet-027,6,0.792,0.100349784,LOW,12,9.5,2.5,No specific opportunity identified
TRIP-00237,Dedicated,Driver-22,Warehouse East,Outlet-061,6,0.856,0.09991207,LOW,12,10.27,1.7300000000000004,No specific opportunity identified
TRIP-00204,Dedicated,Driver-19,Warehouse West,Outlet-061,6,0.768,0.09953246,LOW,12,9.21,2.789999999999999,No specific opportunity identified
TRIP-00225,On-Call,Driver-25,Warehouse North,Outlet-005,6,0.562,0.09773474,LOW,10,5.62,4.38,N/A (On-Call trip)
TRIP-00216,Dedicated,Driver-23,Warehouse North,Outlet-002,7,0.731,0.09521676,LOW,12,8.77,3.2300000000000004,No specific opportunity identified
TRIP-00237,Dedicated,Driver-22,Warehouse East,Outlet-006,6,0.856,0.093705595,LOW,12,10.27,1.7300000000000004,No specific opportunity identified
TRIP-00243,On-Call,Driver-09,Warehouse North,Outlet-014,7,0.557,0.09149821,LOW,12,6.68,5.32,N/A (On-Call trip)
TRIP-00233,Dedicated,Driver-02,Warehouse North,Outlet-038,5,0.877,0.091049336,LOW,12,10.52,1.4800000000000004,No specific opportunity identified
TRIP-00206,Dedicated,Driver-01,Warehouse North,Outlet-001,7,0.803,0.08984887,LOW,12,9.64,2.3599999999999994,No specific opportunity identified
TRIP-00201,On-Call,Driver-17,Warehouse North,Outlet-041,5,0.671,0.08823221,LOW,14,9.39,4.609999999999999,N/A (On-Call trip)
TRIP-00201,On-Call,Driver-17,Warehouse North,Outlet-054,5,0.671,0.08647017,LOW,14,9.39,4.609999999999999,N/A (On-Call trip)
TRIP-00204,Dedicated,Driver-19,Warehouse West,Outlet-013,6,0.768,0.0864433,LOW,12,9.21,2.789999999999999,No specific opportunity identified
TRIP-00211,On-Call,Driver-08,Warehouse West,Outlet-028,6,0.399,0.08487039,LOW,8,3.19,4.8100000000000005,N/A (On-Call trip)
TRIP-00246,Dedicated,Driver-22,Warehouse North,Outlet-005,6,0.717,0.08467264,LOW,12,8.61,3.3900000000000006,No specific opportunity identified
TRIP-00249,Dedicated,Driver-08,Warehouse West,Outlet-040,6,0.792,0.08116995,LOW,12,9.5,2.5,No specific opportunity identified
TRIP-00245,Dedicated,Driver-16,Warehouse North,Outlet-058,8,0.788,0.07828054,LOW,12,9.46,2.539999999999999,No specific opportunity identified
TRIP-00240,On-Call,Driver-12,Warehouse West,Outlet-075,8,0.411,0.07585845,LOW,14,5.75,8.25,N/A (On-Call trip)
TRIP-00250,Dedicated,Driver-06,Warehouse East,Outlet-023,6,0.812,0.07562048,LOW,12,9.74,2.26,No specific opportunity identified
TRIP-00232,On-Call,Driver-17,Warehouse North,Outlet-006,6,0.744,0.07426931,LOW,12,8.93,3.0700000000000003,N/A (On-Call trip)
TRIP-00218,Dedicated,Driver-03,Warehouse East,Outlet-025,8,0.801,0.07085408,LOW,12,9.61,2.3900000000000006,No specific opportunity identified
TRIP-00203,Dedicated,Driver-03,Warehouse East,Outlet-052,8,0.715,0.06777526,LOW,12,8.58,3.42,No specific opportunity identified
TRIP-00200,Dedicated,Driver-17,Warehouse East,Outlet-065,4,0.697,0.065679476,LOW,12,8.37,3.630000000000001,No specific opportunity identified
TRIP-00246,Dedicated,Driver-22,Warehouse North,Outlet-062,6,0.717,0.065444954,LOW,12,8.61,3.3900000000000006,No specific opportunity identified
TRIP-00236,Dedicated,Driver-27,Warehouse East,Outlet-027,6,0.818,0.06537124,LOW,12,9.81,2.1899999999999995,No specific opportunity identified
TRIP-00218,Dedicated,Driver-03,Warehouse East,Outlet-043,8,0.801,0.06493353,LOW,12,9.61,2.3900000000000006,No specific opportunity identified
TRIP-00239,On-Call,Driver-07,Warehouse East,Outlet-053,6,0.634,0.06420644,LOW,8,5.07,2.9299999999999997,N/A (On-Call trip)
TRIP-00211,On-Call,Driver-08,Warehouse West,Outlet-048,6,0.399,0.062842585,LOW,8,3.19,4.8100000000000005,N/A (On-Call trip)
TRIP-00249,Dedicated,Driver-08,Warehouse West,Outlet-029,6,0.792,0.061684735,LOW,12,9.5,2.5,No specific opportunity identified
TRIP-00232,On-Call,Driver-17,Warehouse North,Outlet-012,6,0.744,0.060721505,LOW,12,8.93,3.0700000000000003,N/A (On-Call trip)
TRIP-00207,Dedicated,Driver-16,Warehouse West,Outlet-033,7,0.79,0.06035754,LOW,12,9.48,2.5199999999999996,No specific opportunity identified
TRIP-00199,Dedicated,Driver-13,Warehouse West,Outlet-046,6,0.818,0.05887615,LOW,12,9.82,2.1799999999999997,No specific opportunity identified
TRIP-00199,Dedicated,Driver-13,Warehouse West,Outlet-073,6,0.818,0.05887615,LOW,12,9.82,2.1799999999999997,No specific opportunity identified
TRIP-00196,Dedicated,Driver-17,Warehouse North,Outlet-036,6,0.79,0.05672951,LOW,12,9.48,2.5199999999999996,No specific opportunity identified
TRIP-00212,Dedicated,Driver-17,Warehouse North,Outlet-016,6,0.712,0.056571417,LOW,12,8.54,3.460000000000001,No specific opportunity identified
TRIP-00199,Dedicated,Driver-13,Warehouse West,Outlet-031,6,0.818,0.05500065,LOW,12,9.82,2.1799999999999997,No specific opportunity identified
TRIP-00225,On-Call,Driver-25,Warehouse North,Outlet-060,6,0.562,0.054635752,LOW,10,5.62,4.38,N/A (On-Call trip)
TRIP-00258,Dedicated,Driver-17,Warehouse North,Outlet-002,8,0.718,0.054463044,LOW,12,8.62,3.380000000000001,No specific opportunity identified
TRIP-00249,Dedicated,Driver-08,Warehouse West,Outlet-037,6,0.792,0.051850814,LOW,12,9.5,2.5,No specific opportunity identified
TRIP-00215,On-Call,Driver-08,Warehouse North,Outlet-003,5,0.683,0.051661547,LOW,14,9.56,4.4399999999999995,N/A (On-Call trip)
TRIP-00234,On-Call,Driver-26,Warehouse North,Outlet-014,6,0.48,0.047475122,LOW,8,3.84,4.16,N/A (On-Call trip)
TRIP-00232,On-Call,Driver-17,Warehouse North,Outlet-043,6,0.744,0.047379926,LOW,12,8.93,3.0700000000000003,N/A (On-Call trip)
TRIP-00245,Dedicated,Driver-16,Warehouse North,Outlet-019,8,0.788,0.045834284,LOW,12,9.46,2.539999999999999,No specific opportunity identified
TRIP-00258,Dedicated,Driver-17,Warehouse North,Outlet-026,8,0.718,0.04517257,LOW,12,8.62,3.380000000000001,No specific opportunity identified
TRIP-00218,Dedicated,Driver-03,Warehouse East,Outlet-034,8,0.801,0.04472922,LOW,12,9.61,2.3900000000000006,No specific opportunity identified
TRIP-00218,Dedicated,Driver-03,Warehouse East,Outlet-010,8,0.801,0.04472922,LOW,12,9.61,2.3900000000000006,No specific opportunity identified
TRIP-00196,Dedicated,Driver-17,Warehouse North,Outlet-052,6,0.79,0.043687463,LOW,12,9.48,2.5199999999999996,No specific opportunity identified
TRIP-00225,On-Call,Driver-25,Warehouse North,Outlet-010,6,0.562,0.042500444,LOW,10,5.62,4.38,N/A (On-Call trip)
TRIP-00198,On-Call,Driver-14,Warehouse North,Outlet-014,3,0.568,0.03844224,LOW,12,6.81,5.19,N/A (On-Call trip)
TRIP-00226,On-Call,Driver-02,Warehouse East,Outlet-011,5,0.509,0.03786001,LOW,8,4.07,3.9299999999999997,N/A (On-Call trip)
TRIP-00207,Dedicated,Driver-16,Warehouse West,Outlet-022,7,0.79,0.03526241,LOW,12,9.48,2.5199999999999996,No specific opportunity identified
TRIP-00250,Dedicated,Driver-06,Warehouse East,Outlet-016,6,0.812,0.034695923,LOW,12,9.74,2.26,No specific opportunity identified
TRIP-00246,Dedicated,Driver-22,Warehouse North,Outlet-063,6,0.717,0.03348921,LOW,12,8.61,3.3900000000000006,No specific opportunity identified
TRIP-00206,Dedicated,Driver-01,Warehouse North,Outlet-073,7,0.803,0.033179067,LOW,12,9.64,2.3599999999999994,No specific opportunity identified
TRIP-00207,Dedicated,Driver-16,Warehouse West,Outlet-064,7,0.79,0.03288099,LOW,12,9.48,2.5199999999999996,No specific opportunity identified
TRIP-00207,Dedicated,Driver-16,Warehouse West,Outlet-019,7,0.79,0.03264847,LOW,12,9.48,2.5199999999999996,No specific opportunity identified
TRIP-00250,Dedicated,Driver-06,Warehouse East,Outlet-007,6,0.812,0.03170678,LOW,12,9.74,2.26,No specific opportunity identified
TRIP-00201,On-Call,Driver-17,Warehouse North,Outlet-055,5,0.671,0.031427365,LOW,14,9.39,4.609999999999999,N/A (On-Call trip)
TRIP-00218,Dedicated,Driver-03,Warehouse East,Outlet-072,8,0.801,0.02988075,LOW,12,9.61,2.3900000000000006,No specific opportunity identified
TRIP-00226,On-Call,Driver-02,Warehouse East,Outlet-027,5,0.509,0.027767586,LOW,8,4.07,3.9299999999999997,N/A (On-Call trip)
TRIP-00200,Dedicated,Driver-17,Warehouse East,Outlet-036,4,0.697,0.027603636,LOW,12,8.37,3.630000000000001,No specific opportunity identified
TRIP-00234,On-Call,Driver-26,Warehouse North,Outlet-073,6,0.48,0.027272934,LOW,8,3.84,4.16,N/A (On-Call trip)
TRIP-00206,Dedicated,Driver-01,Warehouse North,Outlet-005,7,0.803,0.02675452,LOW,12,9.64,2.3599999999999994,No specific opportunity identified
TRIP-00199,Dedicated,Driver-13,Warehouse West,Outlet-026,6,0.818,0.026117587,LOW,12,9.82,2.1799999999999997,No specific opportunity identified
TRIP-00234,On-Call,Driver-26,Warehouse North,Outlet-033,6,0.48,0.02505715,LOW,8,3.84,4.16,N/A (On-Call trip)
TRIP-00268,Dedicated,Driver-15,Warehouse East,Warehouse North,1,0.517,0.024573268,LOW,12,6.21,5.79,No specific opportunity identified
TRIP-00196,Dedicated,Driver-17,Warehouse North,Outlet-062,6,0.79,0.0223456,LOW,12,9.48,2.5199999999999996,No specific opportunity identified
TRIP-00209,Dedicated,Driver-21,Warehouse West,Outlet-064,8,0.808,0.021687077,LOW,12,9.7,2.3000000000000007,No specific opportunity identified
TRIP-00201,On-Call,Driver-17,Warehouse North,Outlet-062,5,0.671,0.02123002,LOW,14,9.39,4.609999999999999,N/A (On-Call trip)
TRIP-00197,Dedicated,Driver-23,Warehouse East,Outlet-023,10,0.744,0.02083946,LOW,12,8.93,3.0700000000000003,No specific opportunity identified
TRIP-00218,Dedicated,Driver-03,Warehouse East,Outlet-059,8,0.801,0.01909498,LOW,12,9.61,2.3900000000000006,No specific opportunity identified
TRIP-00199,Dedicated,Driver-13,Warehouse West,Outlet-032,6,0.818,0.01880635,LOW,12,9.82,2.1799999999999997,No specific opportunity identified
TRIP-00209,Dedicated,Driver-21,Warehouse West,Outlet-006,8,0.808,0.01847275,LOW,12,9.7,2.3000000000000007,No specific opportunity identified
TRIP-00206,Dedicated,Driver-01,Warehouse North,Outlet-072,7,0.803,0.016567046,LOW,12,9.64,2.3599999999999994,No specific opportunity identified
TRIP-00206,Dedicated,Driver-01,Warehouse North,Outlet-022,7,0.803,0.016072337,LOW,12,9.64,2.3599999999999994,No specific opportunity identified
TRIP-00271,Dedicated,Driver-18,Warehouse North,Warehouse West,1,0.376,0.01540863,LOW,12,4.51,7.49,No specific opportunity identified
TRIP-00243,On-Call,Driver-09,Warehouse North,Outlet-063,7,0.557,0.015225676,LOW,12,6.68,5.32,N/A (On-Call trip)
TRIP-00218,Dedicated,Driver-03,Warehouse East,Outlet-044,8,0.801,0.0146,LOW,12,9.61,2.3900000000000006,No specific opportunity identified
TRIP-00199,Dedicated,Driver-13,Warehouse West,Outlet-054,6,0.818,0.014311668,LOW,12,9.82,2.1799999999999997,No specific opportunity identified
TRIP-00196,Dedicated,Driver-17,Warehouse North,Outlet-049,6,0.79,0.013991405,LOW,12,9.48,2.5199999999999996,No specific opportunity identified
TRIP-00246,Dedicated,Driver-22,Warehouse North,Outlet-058,6,0.717,0.013896941,LOW,12,8.61,3.3900000000000006,No specific opportunity identified
TRIP-00196,Dedicated,Driver-17,Warehouse North,Outlet-021,6,0.79,0.012183724,LOW,12,9.48,2.5199999999999996,No specific opportunity identified
TRIP-00238,On-Call,Driver-07,Warehouse North,Outlet-008,6,0.564,0.012034846,LOW,12,6.77,5.23,N/A (On-Call trip)
TRIP-00206,Dedicated,Driver-01,Warehouse North,Outlet-020,7,0.803,0.011877585,LOW,12,9.64,2.3599999999999994,No specific opportunity identified
TRIP-00201,On-Call,Driver-17,Warehouse North,Outlet-026,5,0.671,0.011456682,LOW,14,9.39,4.609999999999999,N/A (On-Call trip)
TRIP-00266,Dedicated,Driver-28,Warehouse North,Warehouse East,1,0.369,0.0101607535,LOW,12,4.43,7.57,No specific opportunity identified
TRIP-00262,Dedicated,Driver-12,Warehouse West,Warehouse North,1,0.309,0.009302513,LOW,12,3.71,8.29,No specific opportunity identified
TRIP-00207,Dedicated,Driver-16,Warehouse West,Outlet-046,7,0.79,0.008238595,LOW,12,9.48,2.5199999999999996,No specific opportunity identified
TRIP-00241,On-Call,Driver-26,Warehouse North,Outlet-052,4,0.432,0.007523762,LOW,12,5.18,6.82,N/A (On-Call trip)
TRIP-00234,On-Call,Driver-26,Warehouse North,Outlet-029,6,0.48,0.0039467528,LOW,8,3.84,4.16,N/A (On-Call trip)
TRIP-00234,On-Call,Driver-26,Warehouse North,Outlet-036,6,0.48,0.0039467528,LOW,8,3.84,4.16,N/A (On-Call trip)
TRIP-00241,On-Call,Driver-26,Warehouse North,Outlet-033,4,0.432,0.0023272089,LOW,12,5.18,6.82,N/A (On-Call trip)
